file,line,type,library,icon_name,context,label
styles\main.scss,815,FontAwesome,SCSS FA selector,fa-times-circle,"div[class^=""slide-container-""] .fa-times-circle {",times circle
styles\main.scss,278,FontAwesome,SCSS FA unicode,\f111,"content: ""\f111"";",\f111
styles\module-library.scss,14,FontAwesome,SCSS FA selector,fa-star,.module-specs-wrapper .modules > li .fa-star {,star
styles\sidebar-keepouts.scss,20,FontAwesome,SCSS FA selector,fa-pencil-square-o,.tool-options .module-specs-tool-keepouts button .fa-pencil-square-o {,pencil square o
styles\split.scss,54,SCSS_url,SCSS background-image,../styles/images/icons/handle-dots.png,background: var(--blue-gray) url(../styles/images/icons/handle-dots.png);,handle dots
styles\split.scss,71,SCSS_url,SCSS background-image,../styles/images/icons/handle-dots-rotated.png,background: var(--blue-gray) url(../styles/images/icons/handle-dots-rotated.png);,handle dots rotated
checkerboard.jpg,,SVG_asset,Local icon asset,checkerboard.jpg,,checkerboard
scripts\components\core\Icons\arrow.svg,,SVG_asset,Local icon asset,arrow.svg,,arrow
scripts\components\core\Icons\IconLightBulb.svg,,SVG_asset,Local icon asset,IconLightBulb.svg,,light bulb
scripts\components\core\Icons\magnifyingglass.svg,,SVG_asset,Local icon asset,magnifyingglass.svg,,magnifyingglass
scripts\components\core\Icons\paste.svg,,SVG_asset,Local icon asset,paste.svg,,paste
scripts\components\core\Icons\plus.svg,,SVG_asset,Local icon asset,plus.svg,,plus
scripts\components\core\Icons\PlusIcon.svg,,SVG_asset,Local icon asset,PlusIcon.svg,,plus
scripts\scene\SceneBuilders\ActivatedRoofSegment\objects\icons\rotate-segment-icon.png,,SVG_asset,Local icon asset,rotate-segment-icon.png,,rotate segment icon
styles\images\lidar_roof.png,,SVG_asset,Local icon asset,lidar_roof.png,,lidar roof
styles\images\s3d-background-simple-design.png,,SVG_asset,Local icon asset,s3d-background-simple-design.png,,s3d background simple design
styles\images\s3d-background.png,,SVG_asset,Local icon asset,s3d-background.png,,s3d background
styles\images\slide1gif_cropped.gif,,SVG_asset,Local icon asset,slide1gif_cropped.gif,,slide1gif cropped
styles\images\tree2.png,,SVG_asset,Local icon asset,tree2.png,,tree2
styles\images\icons\category-icon.svg,,SVG_asset,Local icon asset,category-icon.svg,,category icon
styles\images\icons\cylinder-icon.svg,,SVG_asset,Local icon asset,cylinder-icon.svg,,cylinder icon
styles\images\icons\dial-home.png,,SVG_asset,Local icon asset,dial-home.png,,dial home
styles\images\icons\drone-images-icon.svg,,SVG_asset,Local icon asset,drone-images-icon.svg,,drone images icon
styles\images\icons\exports.svg,,SVG_asset,Local icon asset,exports.svg,,exports
styles\images\icons\flush-mount-height.png,,SVG_asset,Local icon asset,flush-mount-height.png,,flush mount height
styles\images\icons\flush-mount.png,,SVG_asset,Local icon asset,flush-mount.png,,flush mount
styles\images\icons\grid-icon.svg,,SVG_asset,Local icon asset,grid-icon.svg,,grid icon
styles\images\icons\ground-mount.png,,SVG_asset,Local icon asset,ground-mount.png,,ground mount
styles\images\icons\handle-dots-rotated.png,,SVG_asset,Local icon asset,handle-dots-rotated.png,,handle dots rotated
styles\images\icons\handle-dots.png,,SVG_asset,Local icon asset,handle-dots.png,,handle dots
styles\images\icons\icon-magnifier-plus.png,,SVG_asset,Local icon asset,icon-magnifier-plus.png,,icon magnifier plus
styles\images\icons\iframe-play-button-no-contour.png,,SVG_asset,Local icon asset,iframe-play-button-no-contour.png,,iframe play button no contour
styles\images\icons\infernotexture.png,,SVG_asset,Local icon asset,infernotexture.png,,infernotexture
styles\images\icons\layers-icon.svg,,SVG_asset,Local icon asset,layers-icon.svg,,layers icon
styles\images\icons\list-icon.svg,,SVG_asset,Local icon asset,list-icon.svg,,list icon
styles\images\icons\maptexture.png,,SVG_asset,Local icon asset,maptexture.png,,maptexture
styles\images\icons\obstruction-elevation-icon.svg,,SVG_asset,Local icon asset,obstruction-elevation-icon.svg,,obstruction elevation icon
styles\images\icons\parapet.png,,SVG_asset,Local icon asset,parapet.png,,parapet
styles\images\icons\project-thumbnail-icon.svg,,SVG_asset,Local icon asset,project-thumbnail-icon.svg,,project thumbnail icon
styles\images\icons\select-arrow.svg,,SVG_asset,Local icon asset,select-arrow.svg,,select arrow
styles\images\icons\selector-icon-01.svg,,SVG_asset,Local icon asset,selector-icon-01.svg,,selector icon 01
styles\images\icons\tilted.png,,SVG_asset,Local icon asset,tilted.png,,tilted
styles\images\icons\trash-icon.svg,,SVG_asset,Local icon asset,trash-icon.svg,,trash icon
styles\images\icons\ui-icons_777777_256x240-original!.png,,SVG_asset,Local icon asset,ui-icons_777777_256x240-original!.png,,ui icons 777777 256x240 original!
styles\images\icons\ui-icons_777777_256x240-white.png,,SVG_asset,Local icon asset,ui-icons_777777_256x240-white.png,,ui icons 777777 256x240 white
styles\images\icons\ui-icons_777777_256x240.png,,SVG_asset,Local icon asset,ui-icons_777777_256x240.png,,ui icons 777777 256x240
